ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
ILMN_27538	7.07e-54	9.07e-58	2838.5775	RPL6	ribosomal protein L6
ILMN_29819	5.66e-53	1.45e-56	2572.55041	RPL8	ribosomal protein L8
ILMN_27784	7.37e-50	2.83e-53	1965.00322	DDB1	damage specific DNA binding protein 1
ILMN_18748	4.17e-49	2.14e-52	1828.49386	SLC25A3	solute carrier family 25 member 3
ILMN_18301	5.42e-46	3.47e-49	1403.90625	HMGCL	3-hydroxymethyl-3-methylglutaryl-CoA lyase
ILMN_15031	7.66e-45	5.89e-48	1268.36276	RPS29	ribosomal protein S29
ILMN_6158	1.64e-44	1.50e-47	1226.61584	CCL3L1	C-C motif chemokine ligand 3 like 1
ILMN_28752	1.64e-44	1.68e-47	1221.55486	C21orf33	chromosome 21 open reading frame 33
ILMN_22857	2.33e-44	2.69e-47	1201.02255	CCL3L3	C-C motif chemokine ligand 3 like 3
ILMN_4819	3.45e-44	4.42e-47	1179.78362		
ILMN_8513	1.33e-43	1.88e-46	1119.89148	VKORC1	vitamin K epoxide reductase complex subunit 1
ILMN_15712	8.04e-43	1.24e-45	1046.37369	UBAC1	UBA domain containing 1
ILMN_1999	1.86e-42	3.11e-45	1012.19407	CCL3	C-C motif chemokine ligand 3
ILMN_24128	2.07e-42	3.72e-45	1005.6053	TMEM101	transmembrane protein 101
ILMN_25953	4.16e-42	8.00e-45	978.19592		
ILMN_12726	6.20e-42	1.27e-44	961.96126	TSPO	translocator protein
ILMN_28228	1.25e-40	2.73e-43	860.81911	RRAGB	Ras related GTP binding B
ILMN_1789	1.30e-40	3.09e-43	856.99959	CCL20	C-C motif chemokine ligand 20
ILMN_14102	1.30e-40	3.18e-43	856.13112	CPT2	carnitine palmitoyltransferase 2
ILMN_5554	2.02e-40	5.28e-43	840.49456		
ILMN_29078	2.02e-40	5.45e-43	839.50932	CXCL2	C-X-C motif chemokine ligand 2
ILMN_23994	4.48e-40	1.26e-42	814.2451	CLN5	ceroid-lipofuscinosis, neuronal 5
ILMN_25315	7.05e-40	2.08e-42	799.66261	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4
ILMN_28397	7.74e-40	2.38e-42	795.70249	CCR2	C-C motif chemokine receptor 2
ILMN_5562	1.07e-39	3.50e-42	784.62485	BUB3	BUB3, mitotic checkpoint protein
ILMN_21958	1.07e-39	3.57e-42	784.03948	CDK19	cyclin dependent kinase 19
ILMN_3028	1.09e-39	3.78e-42	782.47553	DEF8	differentially expressed in FDCP 8 homolog
